Sjaelland;1182.48;6941.72;713034;103
Noerrejyskeoe;710.354;4617.67;175937;38
Fyn;479.364;2993.24;193094;65
Lolland;298.388;1234.96;38919;32
Bornholm;108.047;588.025;27125;46
Falster;145.926;516.268;26654;52
Mors;139.254;361.745;12374;34
Als;150.839;312.117;21885;70
Langeland;131.727;284.554;11211;39
Moen;117.353;218.792;7384;34
Samsoe;78.9451;112.861;4062;36
Laesoe;60.7497;112.609;3334;30
Amager;45.9252;95.3555;32728;343
aeroe;80.128;88.6925;5158;58
Roemoe;45.4187;84.0727;2426;29
Taasinge;51.7106;70.4164;3153;45
Fanoe;48.1187;58.1402;4612;79
Fur;24.4619;22.468;1074;48
Anholt;23.9838;22.3319;538;24
Fejoe;26.549;17.5254;756;43
Oroe;20.0414;15.3699;1493;97
Bogoe;20.8699;14.2983;1203;84
Sejeroe;24.4882;13.9944;772;55
Endelave;20.399;13.112;299;23
Femoe;14.3701;11.5138;327;28
Mandoe;13.3261;8.93602;130;15
Jegindoe;14.6775;8.24474;454;55
Agersoe;21.5844;8.11514;296;36
Thuroe;17.9416;7.93816;1780;224
Alroe;13.4961;7.67212;93;12
Venoe;22.8074;6.89132;187;27
Baagoe;10.2025;6.26586;72;11
aaroe;14.3238;6.17318;187;30
Glaenoe;18.4375;6.16087;57;9
Lyoe;11.9455;6.12234;125;20
Avernakoe;18.3523;6.09666;142;23
Egholm;9.88031;5.96162;29;5
Gavnoe;10.5311;5.64675;22;4
Nyord;10.6151;5.42599;89;16
Strynoe;9.08995;4.98941;200;40
Omoe;11.1397;4.76756;343;72
Drejoe;14.8226;4.40802;128;29
Tunoe;9.08005;3.98587;256;64
Enoe;14.8135;3.93934;1482;376
Faenoe;8.6438;3.92571;13;3
Askoe;14.4962;3.84896;338;88
Hjarnoe;7.59307;3.75302;78;21
Ageroe;8.73693;3.55893;26;7
Livoe;12.8931;3.39739;34;10
Barsoe;6.50532;2.66625;20;8
aebeloe;11.5099;2.53984;2;1
Nekseloe;8.89745;2.48218;28;11
Sprogoe;7.44679;2.08082;6;3
Skaroe;7.02895;2.02359;45;22
Brandsoe;5.57122;2.01552;9;4
Masnedoe;5.94409;1.80272;120;67
Taeroe;8.33419;1.7079;1;1
Vejroe;6.00837;1.51644;12;8
Vigelsoe;6.75483;1.51249;1;1
Bjoernoe;5.99795;1.4995;33;22
Eskilsoe;6.76244;1.44292;2;1
Sioe;6.36321;1.37546;11;8
Langoe;7.55972;1.36145;4;3
Enehoeje;5.38376;1.04342;3;3
Hjortoe;5.25719;1.03417;21;20
ArupHolm;4.51637;1.00114;6;6
Illum;7.1651;0.997067;4;4
Birkholm;5.81045;0.995872;22;22
Proevestenen;4.62669;0.86795;70;81
Raagoe;3.35012;0.747137;5;7
Hindoe;5.0682;0.730221;1;1
Toroe;4.09355;0.712659;6;8
Hesseloe;3.46877;0.691053;3;4
StoreEgholm;3.54583;0.613642;25;41
BesserRev;8.67649;0.47178;1;2
Maderne;3.76583;0.466545;1;2
Halmoe;4.35969;0.435275;1;2
StrynoeKalv;2.56625;0.432373;3;7
Vejloe;3.08263;0.403794;1;2
StoreSvelmoe;4.43882;0.3339;3;9
Draeet;2.52499;0.317025;2;6
Tornoe;2.15571;0.232753;1;4
Vigoe;2.32982;0.209288;1;5
Slotoe;1.80892;0.206864;1;5
Hirsholm;1.93849;0.19595;26;133
Storeholm;2.24834;0.170709;1;6
Hjelmshoved;1.75777;0.168564;3;18
Drejoe;1.68651;0.154894;1;6
Moegeloe;1.79227;0.152734;6;39
Ejlinge;2.10094;0.146725;2;14
Vresen;3.27562;0.124256;1;8
FruensHolm;1.38185;0.117614;1;9
Langoe;1.65667;0.0985339;1;10
Barneholm;1.5007;0.0932641;1;11
Alholm;1.79933;0.0841939;1;12
Vogterholm;1.31922;0.0813305;1;12
Lindholm;1.69331;0.0770734;29;376
StoreOkseoe;1.14455;0.073172;2;27
Kidholme;1.34985;0.0699517;1;14
Lilleoe;1.94733;0.0676344;1;15
Lindoe;1.03104;0.0643065;1;16
Middelgrund;1.01901;0.0638528;1;16
Flintholm;1.03475;0.062455;1;16
RaagoeKalv;1.41099;0.0623514;1;16
LilleEgholm;0.950514;0.0536211;2;37
Nyland;1.43697;0.0527718;1;19
Roennen;0.981608;0.05205;1;19
Flakfortet;0.888719;0.0478797;1;21
Trekroner;0.800726;0.0379697;1;26
FaenoeKalv;0.74328;0.0361549;1;28
Kalvoe;0.816136;0.0355537;2;56
Rommerholm;0.857826;0.0354875;1;28
LilleOkseoe;0.69281;0.0332315;1;30
Vensholm;0.669481;0.0273433;1;37
Ladestedsrevl;0.680682;0.0256456;1;39
Mejlholm;0.687427;0.0247662;1;40
Kidholm;0.666412;0.0244352;1;41
Iholm;1.1383;0.0229325;1;44
MasnedoeKalv;0.690427;0.019792;1;51
Bukoe;0.548099;0.0171786;1;58
Krabborre;0.519212;0.0162042;1;62
Graesholm;0.755318;0.013973;1;72
Stenholmen;0.489953;0.0138598;1;72
Roholm;0.778659;0.0132004;1;76
Maageoeerne;0.496271;0.0128272;1;78
Kvaernen;0.575977;0.0121652;1;82
AsselsHage;0.415693;0.00995502;1;100
Eskilsoe;0.388555;0.00869725;1;115
Munkeholm;0.227233;0.00335685;1;298
